CITY,DISTRICT,GEOCODE,DAY,TIME,T,Wx
臺北市,南港區,6300900,2018-07-16,12:00:00,33,短暫陣雨
臺北市,南港區,6300900,2018-07-16,15:00:00,32,短暫陣雨
臺北市,南港區,6300900,2018-07-16,18:00:00,30,多雲
臺北市,南港區,6300900,2018-07-16,21:00:00,29,晴
臺北市,南港區,6300900,2018-07-17,00:00:00,28,短暫陣雨
臺北市,南港區,6300900,2018-07-17,03:00:00,28,短暫陣雨
臺北市,南港區,6300900,2018-07-17,06:00:00,28,晴
臺北市,南港區,6300900,2018-07-17,09:00:00,31,多雲
臺北市,南港區,6300900,2018-07-17,12:00:00,33,多雲
臺北市,南港區,6300900,2018-07-17,15:00:00,32,多雲
臺北市,南港區,6300900,2018-07-17,18:00:00,30,晴
臺北市,南港區,6300900,2018-07-17,21:00:00,29,晴
臺北市,南港區,6300900,2018-07-18,00:00:00,28,晴
臺北市,南港區,6300900,2018-07-18,03:00:00,27,晴
臺北市,南港區,6300900,2018-07-18,06:00:00,27,晴
臺北市,南港區,6300900,2018-07-18,09:00:00,30,晴
臺北市,南港區,6300900,2018-07-18,12:00:00,33,晴
臺北市,南港區,6300900,2018-07-18,15:00:00,32,晴
臺北市,南港區,6300900,2018-07-18,18:00:00,30,晴
臺北市,南港區,6300900,2018-07-18,21:00:00,29,晴
臺北市,南港區,6300900,2018-07-19,00:00:00,28,晴
臺北市,南港區,6300900,2018-07-19,03:00:00,27,晴
臺北市,南港區,6300900,2018-07-19,06:00:00,27,晴
臺北市,南港區,6300900,2018-07-19,09:00:00,30,多雲
臺北市,大安區,6300300,2018-07-16,12:00:00,33,晴
臺北市,大安區,6300300,2018-07-16,15:00:00,33,晴
臺北市,大安區,6300300,2018-07-16,18:00:00,31,晴
臺北市,大安區,6300300,2018-07-16,21:00:00,30,晴
臺北市,大安區,6300300,2018-07-17,00:00:00,29,晴
臺北市,大安區,6300300,2018-07-17,03:00:00,28,多雲
臺北市,大安區,6300300,2018-07-17,06:00:00,28,晴
臺北市,大安區,6300300,2018-07-17,09:00:00,31,晴
臺北市,大安區,6300300,2018-07-17,12:00:00,34,多雲
臺北市,大安區,6300300,2018-07-17,15:00:00,33,晴
臺北市,大安區,6300300,2018-07-17,18:00:00,31,晴
臺北市,大安區,6300300,2018-07-17,21:00:00,30,晴
臺北市,大安區,6300300,2018-07-18,00:00:00,29,晴
臺北市,大安區,6300300,2018-07-18,03:00:00,28,晴
臺北市,大安區,6300300,2018-07-18,06:00:00,27,晴
臺北市,大安區,6300300,2018-07-18,09:00:00,31,晴
臺北市,大安區,6300300,2018-07-18,12:00:00,34,晴
臺北市,大安區,6300300,2018-07-18,15:00:00,33,晴
臺北市,大安區,6300300,2018-07-18,18:00:00,31,晴
